state_id,nation_id,name,abbreviation,population,main_language_id
1474,91,"Jawa Barat","JAW",17312204,0
1475,91,"Banten","BAN",3655096,0
1476,91,"Sulawesi Selatan","SUL",2640730,0
1477,91,"Jawa Tengah","JAW",9266173,0
1478,91,"Sumatera Selatan","SUM",1817159,0
1479,91,"Sumatera Barat","SUM",1272327,0
1480,91,"Lampung","LAM",1234780,0
1481,91,"Riau","RIA",1241718,0
1482,91,"Yogyakarta","YOG",1582212,0
1483,91,"Kalimantan Selatan","KAL",880202,0
1484,91,"Kalimantan Barat","KAL",657663,0
1485,91,"Sulawesi Utara","SUL",732335,0
1486,91,"Kalimantan Timur","KAL",1258502,0
1487,91,"Jambi","JAM",642839,0
1488,91,"Bali","BAL",724655,0
1489,91,"Maluku","MAL",442751,0
1490,91,"Nusa Tenggara Barat","NUS",533424,0
1491,91,"Bengkulu","BEN",355957,0
1492,91,"Sulawesi Tengah","SUL",421407,0
1493,91,"Nusa Tenggara Timur","NUS",603457,0
1494,91,"Riau Kepulauan","RIA",443932,0
1495,91,"Aceh","ACE",558263,0
1496,91,"Sulawesi Tenggara","SUL",376597,0
1497,91,"Kalimantan Tengah","KAL",319308,0
1498,91,"Gorontalo","GOR",144195,0
1499,91,"Papua","PAP",528112,0
1500,91,"Bangka-Belitung","BAN",358112,0
1501,91,"Maluku Utara","MAL",147880,0
1502,92,"Tehran","TEH",10319828,0
1503,92,"Khorasan","KHO",4080102,0
1504,92,"Esfahan","ESF",3301347,0
1505,92,"Azarbayejan-e Sharqi","AZA",2155160,0
1506,92,"Fars","FAR",2290644,0
1507,92,"Qom","QOM",1011034,0
1508,92,"Khuzestan","KHU",2734275,0
1509,92,"Kermanshah","KER",1155451,0
1510,92,"Azarbayejan-e Gharbi","AZA",1767612,0
1511,92,"Gilan","GIL",1108780,0
1512,92,"Kerman","KER",1418317,0
1513,92,"Sistan-e Baluchestan","SIS",984244,0
1514,92,"Hamadan","HAM",903348,0
1515,92,"Markazi","MAR",865691,0
1516,92,"Yazd","YAZ",675942,0
1517,92,"Ardabil","ARD",675749,0
1518,92,"Zanjan","ZAN",482888,0
1519,92,"Kordestan","KOR",919709,0
1520,92,"Qazvin","QAZ",530151,0
1521,92,"Lorestan","LOR",1036138,0
1522,92,"Hormozgan","HOR",444663,0
1523,92,"Mazandaran","MAZ",1397300,0
1524,92,"Golestan","GOL",593911,0
1525,92,"Bushehr","BUS",393755,0
1526,92,"Ilam","ILA",273041,0
1527,92,"Kohgiluyeh-e Boyerahmad","KOH",328853,0
1528,92,"Semnan","SEM",373900,0
1529,92,"Chahar Mahal-e Bakhtiari","CHA",239269,0
1530,93,"Baghdad","BAG",5672513,0
1531,93,"Ninawa","NIN",2408762,0
1532,93,"al-Basrah","AL-",2569874,0
1533,93,"Irbil","IRB",1005967,0
1534,93,"as-Sulaymaniyah","AS-",952992,0
1535,93,"at-Tamim","AT-",636213,0
1536,93,"an-Najaf","AN-",633248,0
1537,93,"Karbala","KAR",491940,0
1538,93,"Ði Qar","ÐI ",602723,0
1539,93,"Maysan","MAY",378528,0
1540,93,"al-Qadisiyah","AL-",494920,0
1541,93,"Wasit","WAS",526933,0
1542,93,"Babil","BAB",436774,0
1543,93,"al-Anbar","AL-",656736,0
1544,93,"Salah-ad-Din","SAL",386013,0
1545,93,"al-Mut_anna","AL-",200138,0
1546,93,"Diyala","DIY",469309,0
1547,93,"Dahuk","DAH",223828,0
1548,153,"Dublin","DUB",1133072,0
1549,153,"Cork","COR",447829,0
1550,153,"Limerick","LIM",175304,0
1551,153,"Galway","GAL",209077,0
1552,153,"Waterford","WAT",101546,0
1553,153,"Louth","LOU",101821,0
1554,153,"Wicklow","WIC",114676,0
1555,153,"Meath","MEA",134005,0
1556,153,"Clare","CLA",103277,0
1557,153,"Kerry","KER",132527,0
1558,153,"Kilkenny","KIL",80339,0
1559,153,"Kildare","KIL",163944,0
1560,153,"Sligo","SLI",58200,0
1561,153,"Carlow","CAR",46014,0
1562,153,"Wexford","WEX",116596,0
1563,153,"South Tipperary","SOU",83052,0
1564,153,"Westmeath","WES",71858,0
1565,153,"Donegal","DON",137575,0
1566,153,"Laois","LAO",58774,0
1567,153,"Mayo","MAY",117446,0
1568,153,"Offaly","OFF",63663,0
1569,153,"Longford","LON",31068,0
1570,153,"North Tipperary","NOR",65988,0
1571,153,"Cavan","CAV",56546,0
1572,153,"Monaghan","MON",52593,0
1573,153,"Roscommon","ROS",53774,0
1574,153,"Leitrim","LEI",25799,0
1575,94,"Jerusalem","JER",925999,0
1576,94,"Tel Aviv","TEL",1174438,0
1577,94,"Haifa","HAI",768326,0
1578,94,"Hamerkaz","HAM",1567897,0
1579,94,"Hadarom","HAD",796348,0
1580,94,"Haz_afon","HAZ",969020,0
1581,94,"Israel","ISR",287182,0
1582,94,"Judea & Samaria","JUD",163143,0
1583,95,"Lazio","LAZ",5724365,0
1584,95,"Lombardy","LOM",9909348,0
1585,95,"Campania","CAM",5833131,0
1586,95,"Piedmont","PIE",4456532,0
1587,95,"Sicily","SIC",5050486,0
1588,95,"Liguria","LIG",1616993,0
1589,95,"Emilia-Romagna","EMI",4429766,0
1590,95,"Tuscany","TUS",3749074,0
1591,95,"Apulia","APU",4090577,0
1592,95,"Veneto","VEN",4936197,0
1593,95,"Friuli-Venezia Giulia","FRI",1235761,0
1594,95,"Calabria","CAL",2011537,0
1595,95,"Sardinia","SAR",1675286,0
1596,95,"Umbria","UMB",906675,0
1597,95,"Abruzzes","ABR",1342177,0
1598,95,"Trentino-Alto Adige","TRE",1036639,0
1599,95,"Marche","MAR",1564886,0
1600,95,"Basilicata","BAS",587680,0
1601,95,"Molise","MOL",319834,0
