year,team_id,game_id,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws,kp,bbp,wpa,babip
0,0,0,0,0,0,41302,37892,11176,2279,0,0,1600,664,341,1998,0,0,7021,3410,0,0,0,0,0,0,1120,0,2605,0,0.2949,0.3532,0.3992,6022.1936,6.0862,0.1043,0.0000,0.7524,100.0000,0.0000,0.0000,0.0000,0.0000,0.3072
0,0,0,0,0,0,38285,34664,9652,2892,12875,7539,1279,558,276,2126,0,0,6239,3621,0,0,0,0,0,0,1120,0,2113,0,0.2784,0.3467,0.3714,5173.2909,5.5845,0.0930,0.3325,0.7181,100.0000,0.0000,7.5539,9.4580,0.0000,0.2977
0,0,0,0,0,0,39914,36769,10600,2213,14192,8224,1431,674,271,1988,0,0,6249,3145,0,0,0,0,0,0,1120,0,2376,0,0.2883,0.3444,0.3860,5524.8123,5.7003,0.0977,0.3349,0.7303,100.0000,0.0000,5.5444,7.8794,0.0000,0.3013
0,0,0,0,0,0,38022,34494,9647,2984,12798,7532,1333,528,254,2042,0,0,6120,3528,0,0,0,0,0,0,1120,0,2115,0,0.2797,0.3465,0.3710,5120.4186,5.5641,0.0913,0.3331,0.7175,100.0000,0.0000,7.8481,9.2788,0.0000,0.3005
0,0,0,0,0,0,41006,37906,10968,2326,0,0,1530,663,256,1711,0,0,6333,3100,0,0,0,0,0,0,1120,0,2449,0,0.2893,0.3431,0.3850,5587.8565,5.6007,0.0956,0.0000,0.7280,100.0000,0.0000,0.0000,0.0000,0.0000,0.3032
0,0,0,0,0,0,40521,36800,9891,3020,12823,7952,1187,511,241,1832,0,0,6028,3721,0,0,0,0,0,0,1120,0,1939,0,0.2688,0.3359,0.3485,4952.5697,4.9693,0.0797,0.3243,0.6844,100.0000,0.0000,7.4529,9.1829,0.0000,0.2877
0,0,0,0,0,0,45006,41723,11180,2810,0,0,1445,616,201,1294,0,0,6034,3283,0,0,0,0,0,0,1120,0,2262,0,0.2680,0.3214,0.3466,5137.3633,4.5414,0.0786,0.0000,0.6679,100.0000,0.0000,0.0000,0.0000,0.0000,0.2836
0,0,0,0,0,0,40182,36777,9871,2962,12898,7865,1244,503,259,1957,0,0,5859,3405,0,0,0,0,0,0,1120,0,2006,0,0.2684,0.3304,0.3507,4890.1817,4.9073,0.0823,0.3186,0.6811,100.0000,0.0000,7.3715,8.4739,0.0000,0.2864
0,0,0,0,0,0,45278,41799,11952,2477,0,0,1493,732,234,1766,0,0,6721,3479,0,0,0,0,0,0,1120,0,2459,0,0.2859,0.3408,0.3735,5941.5587,5.3748,0.0875,0.0000,0.7143,100.0000,0.0000,0.0000,0.0000,0.0000,0.2998
0,0,0,0,0,0,40182,36777,9871,2962,12898,7865,1244,503,259,1957,0,0,5859,3405,0,0,0,0,0,0,1120,0,2006,0,0.2684,0.3304,0.3507,4890.1817,4.9073,0.0823,0.3178,0.6811,100.0000,0.0000,7.3715,8.4739,0.0000,0.2864
0,0,0,0,0,0,42166,39132,10925,2697,0,0,1432,607,254,1686,0,0,5932,3034,0,0,0,0,0,0,1120,0,2293,0,0.2792,0.3310,0.3663,5296.3027,5.0697,0.0871,0.0000,0.6973,100.0000,0.0000,0.0000,0.0000,0.0000,0.2949
0,0,0,0,0,0,40918,38138,10559,2736,14153,8109,1534,688,228,1449,0,0,5874,2780,0,0,0,0,0,0,1098,0,2450,0,0.2769,0.3260,0.3711,5095.0429,4.9881,0.0942,0.3187,0.6971,100.0000,0.0000,6.6865,6.7941,0.0000,0.2937
0,0,0,0,0,0,41652,38967,10398,4241,13576,8224,1397,550,227,1402,0,0,5194,2685,0,0,0,0,0,0,1122,0,2174,0,0.2668,0.3141,0.3484,4712.5247,4.4537,0.0816,0.3043,0.6625,100.0000,0.0000,10.1820,6.4463,0.0000,0.2948
0,0,0,0,0,0,40820,38005,10451,2744,14024,7963,1661,569,258,1315,0,0,5407,2815,0,0,0,0,0,0,1106,0,2488,0,0.2750,0.3250,0.3690,5017.7134,4.9168,0.0940,0.3214,0.6940,100.0000,0.0000,6.7222,6.8961,0.0000,0.2912
0,0,0,0,0,0,40766,38146,9866,3895,12158,8184,1170,414,98,1362,0,0,4476,2620,0,0,0,0,0,0,1124,0,1682,0,0.2586,0.3063,0.3187,4149.3729,3.9616,0.0601,0.2926,0.6250,100.0000,0.0000,9.5545,6.4269,0.0000,0.2860
0,0,0,0,0,0,39700,37434,9553,4199,12890,7202,1549,618,184,1173,0,0,4543,2266,0,0,0,0,0,0,1108,0,2351,0,0.2552,0.2977,0.3443,4194.4410,4.0619,0.0891,0.2939,0.6420,100.0000,0.0000,10.5768,5.7078,0.0000,0.2835
0,0,0,0,0,0,41108,38005,10223,0,13247,8044,1485,543,151,1562,0,0,5349,3103,0,0,0,0,0,0,1120,0,2179,0,0.2690,0.3242,0.3486,4819.1248,4.6835,0.0796,0.3104,0.6727,100.0000,0.0000,0.0000,7.5484,0.0000,0.2661
0,0,0,0,0,0,44090,41479,10138,5026,13308,7890,1482,610,156,1207,0,0,4433,2611,0,0,0,0,0,0,1252,0,2248,0,0.2444,0.2892,0.3208,4225.9075,3.6406,0.0764,0.2823,0.6100,100.0000,0.0000,11.3994,5.9220,0.0000,0.2750
0,0,0,0,0,0,43979,41010,10225,0,13207,8137,1369,544,175,1573,0,0,4874,2969,0,0,0,0,0,0,1246,0,2088,0,0.2493,0.3000,0.3220,4439.1709,3.8934,0.0727,0.2888,0.6221,100.0000,0.0000,0.0000,6.7509,0.0000,0.2461
0,0,0,0,0,0,43604,40622,9783,0,12740,7617,1531,479,156,1331,0,0,4549,2982,0,0,0,0,0,0,1234,0,2166,0,0.2408,0.2927,0.3136,4159.2049,3.6414,0.0728,0.2838,0.6064,100.0000,0.0000,0.0000,6.8388,0.0000,0.2379
0,0,0,0,0,0,44426,41219,10515,0,13670,8365,1327,641,182,1601,0,0,5091,3207,0,0,0,0,0,0,1240,0,2150,0,0.2551,0.3089,0.3316,4736.9841,4.1655,0.0765,0.2991,0.6405,100.0000,0.0000,0.0000,7.2187,0.0000,0.2518
0,0,0,0,0,0,43215,40413,10051,0,12866,8025,1374,515,137,1533,0,0,4495,2802,0,0,0,0,0,0,1226,0,2026,0,0.2487,0.2974,0.3184,4280.3717,3.8064,0.0697,0.2900,0.6158,100.0000,0.0000,0.0000,6.4839,0.0000,0.2462
0,0,0,0,0,0,43016,39649,9693,0,12307,7820,1258,489,126,1461,0,0,4388,3367,0,0,0,0,0,0,1230,0,1873,0,0.2445,0.3036,0.3104,4232.9447,3.8152,0.0659,0.2908,0.6140,100.0000,0.0000,0.0000,7.8273,0.0000,0.2421
0,0,0,0,0,0,43789,40965,10132,0,12679,8248,1325,455,104,1395,0,0,4511,2824,0,0,0,0,0,0,1234,0,1884,0,0.2473,0.2959,0.3095,4183.2474,3.6632,0.0622,0.2874,0.6054,100.0000,0.0000,0.0000,6.4491,0.0000,0.2454
0,0,0,0,0,0,42614,39337,9566,0,12145,7773,1148,504,141,1380,0,0,4187,3277,0,0,0,0,0,0,1232,0,1793,0,0.2432,0.3014,0.3087,4133.3098,3.7486,0.0656,0.2908,0.6101,100.0000,0.0000,0.0000,7.6900,0.0000,0.2405
0,0,0,0,0,0,43404,40601,9702,0,12327,7808,1279,499,116,1361,0,0,4284,2803,0,0,0,0,0,0,1244,0,1894,0,0.2390,0.2881,0.3036,3965.3619,3.4650,0.0647,0.2789,0.5917,100.0000,0.0000,0.0000,6.4579,0.0000,0.2368
0,0,0,0,0,0,43135,40078,9577,0,12278,7680,1244,502,151,1372,0,0,4139,3057,0,0,0,0,0,0,1244,0,1897,0,0.2390,0.2929,0.3064,4037.9184,3.5744,0.0674,0.2830,0.5992,100.0000,0.0000,0.0000,7.0871,0.0000,0.2361
0,0,0,0,0,0,42903,39972,9747,0,12344,7867,1272,499,109,1544,0,0,4264,2931,0,0,0,0,0,0,1240,0,1880,0,0.2438,0.2955,0.3088,4110.1448,3.6716,0.0650,0.2860,0.6043,100.0000,0.0000,0.0000,6.8317,0.0000,0.2418
0,0,0,0,0,0,44223,40649,9907,0,12752,7867,1386,503,151,1508,0,0,4541,3574,0,0,0,0,0,0,1242,0,2040,0,0.2437,0.3048,0.3137,4409.6524,3.8729,0.0700,0.2937,0.6186,100.0000,0.0000,0.0000,8.0818,0.0000,0.2409
0,0,0,0,0,0,44320,40925,9948,0,12822,7935,1299,567,147,1671,0,0,4573,3395,0,0,0,0,0,0,1256,0,2013,0,0.2431,0.3011,0.3133,4387.5409,3.8242,0.0702,0.2907,0.6144,100.0000,0.0000,0.0000,7.6602,0.0000,0.2404
