game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
6079,154,200,206,0,"2019-7-11",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6080,154,204,205,0,"2019-7-11",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6081,154,202,204,0,"2019-7-12",1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6082,154,199,201,0,"2019-7-12",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6083,154,203,206,0,"2019-7-12",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6084,154,208,207,0,"2019-7-12",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6085,154,205,200,0,"2019-7-12",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6086,154,202,204,0,"2019-7-13",1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6087,154,199,201,0,"2019-7-13",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6088,154,203,206,0,"2019-7-13",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6089,154,208,207,0,"2019-7-13",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6090,154,205,200,0,"2019-7-13",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6091,154,202,204,0,"2019-7-14",1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6092,154,199,201,0,"2019-7-14",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6093,154,205,200,0,"2019-7-14",1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6094,154,203,206,0,"2019-7-14",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6095,154,208,207,0,"2019-7-14",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6096,154,202,204,0,"2019-7-16",1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6097,154,199,201,0,"2019-7-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6098,154,203,206,0,"2019-7-16",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6099,154,208,207,0,"2019-7-16",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6100,154,205,200,0,"2019-7-16",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6101,154,206,208,0,"2019-7-18",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6102,154,200,199,0,"2019-7-18",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6103,154,207,205,0,"2019-7-18",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6104,154,201,202,0,"2019-7-18",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6105,154,204,203,0,"2019-7-18",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6106,154,206,208,0,"2019-7-19",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6107,154,200,199,0,"2019-7-19",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6108,154,207,205,0,"2019-7-19",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6109,154,201,202,0,"2019-7-19",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6110,154,204,203,0,"2019-7-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6111,154,200,199,0,"2019-7-20",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6112,154,207,205,0,"2019-7-20",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6113,154,201,202,0,"2019-7-20",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6114,154,206,208,0,"2019-7-20",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6115,154,204,203,0,"2019-7-20",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6116,154,200,199,0,"2019-7-21",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,154,207,205,0,"2019-7-21",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6118,154,204,203,0,"2019-7-21",1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6119,154,201,202,0,"2019-7-21",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6120,154,206,208,0,"2019-7-21",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6121,154,204,203,0,"2019-7-22",1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6122,154,201,202,0,"2019-7-22",1605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6123,154,206,208,0,"2019-7-22",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6124,154,200,199,0,"2019-7-22",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6125,154,207,205,0,"2019-7-22",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6126,154,203,201,0,"2019-7-23",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6127,154,199,207,0,"2019-7-23",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6128,154,208,200,0,"2019-7-23",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6129,154,205,206,0,"2019-7-23",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6130,154,204,202,0,"2019-7-23",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6131,154,203,201,0,"2019-7-24",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6132,154,199,207,0,"2019-7-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6133,154,208,200,0,"2019-7-24",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6134,154,205,206,0,"2019-7-24",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6135,154,204,202,0,"2019-7-24",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6136,154,208,200,0,"2019-7-25",1115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6137,154,203,201,0,"2019-7-25",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6138,154,199,207,0,"2019-7-25",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6139,154,205,206,0,"2019-7-25",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6140,154,204,202,0,"2019-7-25",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6141,154,203,201,0,"2019-7-26",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6142,154,199,207,0,"2019-7-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6143,154,208,200,0,"2019-7-26",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6144,154,205,206,0,"2019-7-26",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6145,154,204,202,0,"2019-7-26",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6146,154,203,201,0,"2019-7-27",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6147,154,199,207,0,"2019-7-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6148,154,208,200,0,"2019-7-27",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6149,154,205,206,0,"2019-7-27",1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6150,154,204,202,0,"2019-7-27",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6151,154,202,208,0,"2019-7-28",1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6152,154,205,204,0,"2019-7-28",1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6153,154,200,201,0,"2019-7-28",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6154,154,207,203,0,"2019-7-28",1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6155,154,206,199,0,"2019-7-28",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6156,154,202,208,0,"2019-7-29",1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6157,154,205,204,0,"2019-7-29",1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6158,154,200,201,0,"2019-7-29",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6159,154,207,203,0,"2019-7-29",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6160,154,206,199,0,"2019-7-29",1705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
