team_id,year,league_id,level_id,split_id,ab,ip,bf,tb,ha,k,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,r9,avg,obp,slg,ops,h9,k9,hr9,bb9,cgp,fip,qsp,winp,rsg,svp,bsvp,gfp,era,pig,ws,whip,gbfbp,kbb,babip
175,2019,152,2,1,505,121,556,234,156,78,77,37,83,77,137,135,1974,1,23,23,6,9,0,108,32,4,2,2,14,0,0,0,3,8,0,5,9,0,0,0,0,0,7,3,0,14.9093,0.3089,0.3641,0.4634,0.8275,11.5714,5.7857,1.0385,2.7445,0.0000,0.0000,0.3913,0.4000,3.3478,0.0000,0.0000,0.0000,5.7115,85.8261,0.0000,1.5907,0.5037,2.1081,0.3422
176,2019,151,2,1,437,106,487,187,132,81,48,42,82,79,109,117,1755,0,22,22,4,9,0,99,22,1,5,0,11,1,0,1,8,2,0,9,5,0,0,0,0,0,8,0,0,14.9434,0.3021,0.3621,0.4279,0.7901,11.2075,6.8774,0.9340,3.5660,0.0000,0.0000,0.2273,0.3077,2.1818,0.0000,0.0000,0.0000,6.7075,79.7727,0.0000,1.6415,0.4823,1.9286,0.3457
177,2019,152,2,1,428,106,488,191,129,96,60,49,66,63,101,106,1845,0,23,23,6,8,0,91,24,2,6,4,10,1,0,0,6,3,0,13,5,0,0,0,0,0,8,2,0,15.3679,0.3014,0.3724,0.4463,0.8187,10.9528,8.1509,0.8491,4.1604,0.0000,0.0000,0.2174,0.4286,2.6087,0.0000,0.0000,0.0000,5.3491,80.2174,0.0000,1.6792,0.4879,1.9592,0.3628
178,2019,152,2,1,460,121,515,180,112,109,91,45,56,52,125,114,1920,0,23,23,8,5,0,69,29,2,3,3,11,0,0,0,2,5,0,10,4,0,0,0,0,0,11,2,0,12.0496,0.2435,0.3158,0.3913,0.7071,8.3306,8.1074,0.8182,3.3471,0.0000,0.0000,0.1739,0.6154,3.9565,0.0000,0.0000,0.0000,3.8678,83.4783,0.0000,1.2975,0.5230,2.4222,0.2945
179,2019,152,2,1,405,95,447,202,131,80,59,36,61,60,91,101,1682,1,23,23,4,8,0,88,27,0,3,4,12,0,0,0,6,3,0,10,5,0,0,0,0,0,7,2,0,16.0490,0.3235,0.3803,0.4988,0.8791,12.3671,7.5524,1.1329,3.3986,0.0000,0.0000,0.2174,0.3333,2.5652,0.0000,0.0000,0.0000,5.6643,73.1304,0.0000,1.7517,0.4740,2.2222,0.3766
180,2019,152,2,1,445,110,494,209,129,103,81,38,75,65,110,106,1817,2,23,23,2,8,0,88,21,5,4,1,19,2,0,0,4,2,0,7,5,0,0,0,0,0,8,5,0,13.7440,0.2899,0.3456,0.4697,0.8153,10.4910,8.3765,1.5452,3.0904,0.0000,0.0000,0.2174,0.2000,3.5217,0.0000,0.0000,0.0000,5.2861,79.0000,0.0000,1.5090,0.5093,2.7105,0.3364
181,2019,152,2,1,451,108,495,212,130,78,76,38,79,70,108,130,1837,0,23,23,3,10,0,90,18,0,3,2,20,0,0,0,5,3,0,5,8,0,0,0,0,0,6,0,0,14.2500,0.2882,0.3455,0.4701,0.8155,10.8333,6.5000,1.6667,3.1667,0.0000,0.0000,0.3478,0.2308,3.3043,0.0000,0.0000,0.0000,5.8333,79.8696,0.0000,1.5556,0.4538,2.0526,0.3090
182,2019,152,2,1,428,101,483,222,136,75,70,45,85,81,101,117,1739,0,23,23,4,7,0,90,24,3,5,4,18,1,0,0,3,2,0,6,4,0,0,0,0,0,9,3,0,16.3069,0.3178,0.3812,0.5187,0.8999,12.1188,6.6832,1.6040,4.0099,0.0000,0.0000,0.1739,0.3636,3.0435,0.0000,0.0000,0.0000,7.2178,75.6087,0.0000,1.7921,0.4633,1.6667,0.3471
183,2019,152,2,1,504,128,557,235,140,104,65,41,74,71,133,132,2000,2,23,23,6,8,0,89,27,5,3,4,20,0,0,1,4,4,0,11,11,0,0,0,0,0,9,5,0,12.9404,0.2778,0.3351,0.4663,0.8014,9.7927,7.2746,1.3990,2.8679,0.0000,0.0000,0.4783,0.4286,2.8261,0.0000,0.0000,0.0000,4.9663,86.9565,0.0000,1.4067,0.5019,2.5366,0.3133
184,2019,152,2,1,464,105,522,231,162,84,87,47,92,87,110,108,1960,2,23,23,3,7,0,120,28,2,5,1,13,0,0,0,5,4,0,12,2,0,0,0,0,0,7,0,0,18.1420,0.3491,0.4096,0.4978,0.9075,13.7981,7.1546,1.1073,4.0032,0.0000,0.0000,0.0870,0.3000,3.7826,0.0000,0.0000,0.0000,7.4101,85.2174,0.0000,1.9779,0.5046,1.7872,0.4005
