player_id,league_id,streak_id,value,has_ended,started,ended
998,154,6,1,1,"2019-4-7","2019-4-13"
998,154,0,2,1,"2019-4-8","2019-4-14"
998,154,5,2,1,"2019-4-13","2019-4-23"
998,154,7,2,1,"2019-4-13","2019-4-23"
998,154,1,1,1,"2019-4-19","2019-4-20"
998,154,0,4,0,"2019-4-20",NULL
998,154,3,2,1,"2019-4-20","2019-4-25"
998,154,6,1,0,"2019-4-23",NULL
998,154,2,1,0,"2019-4-26",NULL
998,154,3,1,0,"2019-4-26",NULL
998,154,1,1,0,"2019-4-26",NULL
999,154,2,1,1,"2019-4-14","2019-4-15"
999,154,1,2,1,"2019-4-14","2019-4-16"
999,154,0,5,1,"2019-4-20","2019-4-25"
999,154,3,2,1,"2019-4-24","2019-4-25"
999,154,0,1,0,"2019-4-26",NULL
999,154,1,1,0,"2019-4-26",NULL
1002,159,2,1,1,"2019-4-5","2019-4-6"
1002,159,1,2,1,"2019-4-12","2019-4-15"
1002,159,0,4,1,"2019-4-13","2019-4-19"
1002,159,3,3,1,"2019-4-13","2019-4-18"
1002,159,0,4,0,"2019-4-22",NULL
1002,159,3,4,0,"2019-4-22",NULL
1002,159,1,1,0,"2019-4-26",NULL
1010,152,1,4,1,"2019-4-12","2019-4-17"
1010,152,0,2,1,"2019-4-14","2019-4-17"
1010,152,3,1,1,"2019-4-14","2019-4-15"
1010,152,0,4,0,"2019-4-21",NULL
1010,152,2,1,0,"2019-4-25",NULL
1010,152,3,1,0,"2019-4-25",NULL
1010,152,1,1,0,"2019-4-25",NULL
1014,153,7,1,1,"2019-4-6","2019-4-11"
1014,153,6,1,0,"2019-4-11",NULL
1014,153,7,2,0,"2019-4-16",NULL
1015,152,0,1,1,"2019-4-15","2019-4-21"
1015,152,3,1,1,"2019-4-15","2019-4-21"
1015,152,0,2,0,"2019-4-22",NULL
1015,152,3,1,0,"2019-4-24",NULL
1018,156,0,6,1,"2019-4-7","2019-4-17"
1018,156,3,1,1,"2019-4-12","2019-4-13"
1018,156,1,2,1,"2019-4-15","2019-4-17"
1018,156,0,1,0,"2019-4-25",NULL
1018,156,3,1,0,"2019-4-25",NULL
1019,153,3,3,1,"2019-4-5","2019-4-10"
1019,153,0,4,1,"2019-4-8","2019-4-16"
1019,153,1,3,1,"2019-4-8","2019-4-14"
1020,153,2,2,1,"2019-4-14","2019-4-16"
1020,153,3,3,1,"2019-4-14","2019-4-18"
1020,153,1,3,1,"2019-4-14","2019-4-18"
1020,153,0,4,1,"2019-4-20","2019-4-25"
1020,153,1,1,0,"2019-4-25",NULL
1022,160,6,1,1,"2019-4-5","2019-4-9"
1022,160,5,1,1,"2019-4-9","2019-4-14"
1022,160,7,1,1,"2019-4-9","2019-4-14"
1022,160,6,1,0,"2019-4-14",NULL
1027,155,6,1,0,"2019-4-13",NULL
1028,160,2,1,1,"2019-4-8","2019-4-12"
1028,160,0,4,1,"2019-4-14","2019-4-18"
1028,160,3,1,1,"2019-4-22","2019-4-23"
1028,160,1,2,1,"2019-4-23","2019-4-25"
1028,160,0,1,0,"2019-4-26",NULL
1028,160,1,1,0,"2019-4-26",NULL
1032,160,0,4,1,"2019-4-20","2019-4-25"
1032,160,3,1,1,"2019-4-20","2019-4-22"
1032,160,1,1,1,"2019-4-24","2019-4-25"
1048,152,6,2,1,"2019-4-7","2019-4-20"
1048,152,5,1,1,"2019-4-20","2019-4-25"
1048,152,6,1,0,"2019-4-25",NULL
1058,153,0,9,1,"2019-4-4","2019-4-13"
1058,153,3,2,1,"2019-4-8","2019-4-10"
1058,153,1,3,1,"2019-4-8","2019-4-12"
1064,157,7,1,1,"2019-4-6","2019-4-11"
1064,157,6,4,0,"2019-4-11",NULL
1068,152,0,6,1,"2019-4-6","2019-4-17"
1068,152,1,3,1,"2019-4-11","2019-4-18"
1068,152,3,2,1,"2019-4-18","2019-4-21"
1068,152,6,1,0,"2019-4-19",NULL
1068,152,2,1,1,"2019-4-20","2019-4-21"
1068,152,0,2,0,"2019-4-22",NULL
